
[Name]
surface_body

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.56701469e-01, 3.29695731e-01, 3.49999988e-03, -6.84704437e+01, 1.05645013e+00, 2.25669444e-01
2.66430289e-01, 3.66504133e-01, 3.49999988e-03, -5.26848221e+01, 3.32227677e-01, -3.07565033e-02
2.66571522e-01, 3.65962327e-01, 3.49999988e-03, -5.24471245e+01, 2.39818752e-01, 2.96828657e-04
2.67175764e-01, 3.66378933e-01, 3.49999988e-03, -5.16529083e+01, 3.54240835e-01, -9.08175483e-03
2.67080307e-01, 3.65706146e-01, 3.49999988e-03, -5.17571030e+01, 2.23408818e-01, 2.26763822e-02
2.67848164e-01, 3.66024315e-01, 3.49999988e-03, -5.07012825e+01, 3.24211299e-01, 2.57162191e-02
2.67541885e-01, 3.65349650e-01, 3.49999988e-03, -5.09518890e+01, 1.86827496e-01, 5.43993935e-02
2.35255197e-01, 3.68153274e-01, 3.49999988e-03, -5.72599459e+00, 5.87853098e+00, 4.61303520e+00
2.34964505e-01, 3.67760867e-01, 3.49999988e-03, -3.32241368e+00, 5.48481989e+00, 4.44753075e+00
2.30888456e-01, 3.39513123e-01, 3.49999988e-03, 5.56835480e+01, 1.93402243e+00, -2.94781303e+00
2.31098831e-01, 3.39249581e-01, 3.49999988e-03, 5.33997841e+01, 1.88172257e+00, -2.82319570e+00
2.93343335e-01, 3.23255450e-01, 3.49999988e-03, -3.55429993e+01, 5.31712914e+00, 4.27388430e-01
2.91869968e-01, 3.20680827e-01, 3.49999988e-03, -3.55666733e+01, 6.40218496e+00, 3.94635439e-01
2.67074615e-01, 3.36066663e-01, 3.49999988e-03, -5.10078468e+01, 6.90381136e-03, -9.30240303e-02
2.67320782e-01, 3.35857064e-01, 3.49999988e-03, -5.08198013e+01, 3.01000345e-02, -9.62239429e-02
2.39753142e-01, 3.29434872e-01, 3.49999988e-03, -3.72283440e+01, 5.83518696e+00, -3.09690332e+00
2.00043499e-01, 3.00899386e-01, 3.49999988e-03, 2.06905441e+01, 1.14217854e+01, -2.19269776e+00
2.95140624e-01, 4.02514845e-01, 3.49999988e-03, -2.64944363e+01, 1.37675343e+01, 5.64610839e-01
2.76449233e-01, 3.86652499e-01, 3.49999988e-03, -3.92969017e+01, 1.06509495e+01, 3.36713403e-01
2.75771260e-01, 3.22430432e-01, 3.49999988e-03, -4.30036545e+01, 5.96095610e+00, 2.44044334e-01
2.26125121e-01, 3.79420489e-01, 3.49999988e-03, 1.26717634e+01, 1.08938351e+01, 5.43302774e+00
2.69437104e-01, 3.34188879e-01, 3.49999988e-03, -4.89640274e+01, 3.94937694e-01, -6.67927489e-02
2.44113281e-01, 3.28071207e-01, 3.49999988e-03, -5.63669586e+01, 5.24641609e+00, -1.74337864e+00
2.28653014e-01, 3.46790612e-01, 3.49999988e-03, 9.54512024e+01, 4.47008312e-01, -9.75268006e-01
2.28822231e-01, 3.46546143e-01, 3.49999988e-03, 9.53900528e+01, 3.83271962e-01, -9.40952122e-01
2.29667142e-01, 3.43131721e-01, 3.49999988e-03, 8.01744614e+01, 9.22058642e-01, -1.93068457e+00
2.29885608e-01, 3.42704922e-01, 3.49999988e-03, 7.82754364e+01, 9.03914154e-01, -1.89149761e+00
2.48497680e-01, 3.28154474e-01, 3.49999988e-03, -6.86252518e+01, 3.24661040e+00, -4.44496125e-01
2.48835951e-01, 3.28345299e-01, 3.49999988e-03, -6.93264694e+01, 2.86822534e+00, -3.39508861e-01
2.52171457e-01, 3.28182817e-01, 3.49999988e-03, -7.05820541e+01, 2.53785729e+00, 1.37304394e-02
2.52614528e-01, 3.28439295e-01, 3.49999988e-03, -7.10220184e+01, 2.21381974e+00, 6.63310811e-02
2.50179917e-01, 3.71934444e-01, 3.49999988e-03, -6.98255463e+01, 2.89189434e+00, 2.04652011e-01
2.49690250e-01, 3.71678323e-01, 3.49999988e-03, -6.99848022e+01, 2.67933154e+00, 2.19101235e-01
2.17573375e-01, 3.07989866e-01, 3.49999988e-03, 1.55352030e+01, 1.15506592e+01, -3.47909331e+00
2.85152465e-01, 3.71849865e-01, 3.49999988e-03, -3.92306023e+01, 3.31775069e+00, -2.73836046e-01
2.30627552e-01, 3.05202305e-01, 3.49999988e-03, -1.22420847e+00, 1.27822828e+01, -3.94067264e+00
2.90271044e-01, 3.60522479e-01, 3.49999988e-03, -3.75637207e+01, 2.24311516e-01, -6.36011139e-02
2.80164719e-01, 3.54305744e-01, 3.49999988e-03, -4.04059639e+01, -3.82762820e-01, 1.48530319e-01
